# Generated by tools/nelisp-emacs-compat.el -- do not edit.
# Regenerate: make emacs-compat-table
# emacs 30.1, 8872 names
#
# nelisp-only       stock Emacs does not have this name
# shared-deferring  both have it; this tree defers via (unless (fboundp ...))
# shared-shadowing  both have it; this tree defines it unconditionally

nelisp-only      add
nelisp-only      anvil-standalone-db--arg
nelisp-only      anvil-standalone-db--close
nelisp-only      anvil-standalone-db--display-name
nelisp-only      anvil-standalone-db--ensure-sqlite
nelisp-only      anvil-standalone-db--error
nelisp-only      anvil-standalone-db--getenv
nelisp-only      anvil-standalone-db--hostname
nelisp-only      anvil-standalone-db--int-arg
nelisp-only      anvil-standalone-db--json
nelisp-only      anvil-standalone-db--json-escape
nelisp-only      anvil-standalone-db--last-error
nelisp-only      anvil-standalone-db--machine
nelisp-only      anvil-standalone-db--memory-db-path
nelisp-only      anvil-standalone-db--memory-name
nelisp-only      anvil-standalone-db--memory-schema
nelisp-only      anvil-standalone-db--notes-dir
nelisp-only      anvil-standalone-db--now
nelisp-only      anvil-standalone-db--open
nelisp-only      anvil-standalone-db--params
nelisp-only      anvil-standalone-db--read-text-option
nelisp-only      anvil-standalone-db--row-memory
nelisp-only      anvil-standalone-db--row-worklog
nelisp-only      anvil-standalone-db--sha1
nelisp-only      anvil-standalone-db--today
nelisp-only      anvil-standalone-db--trim-right
nelisp-only      anvil-standalone-db--type-prefix-present-p
nelisp-only      anvil-standalone-db--type-valid-p
nelisp-only      anvil-standalone-db--worklog-db-path
nelisp-only      anvil-standalone-db--worklog-schema
nelisp-only      anvil-standalone-db--year-from-date
nelisp-only      anvil-standalone-db-dispatch
nelisp-only      anvil-standalone-db-main
nelisp-only      anvil-standalone-db-memory-add
nelisp-only      anvil-standalone-db-memory-get
nelisp-only      anvil-standalone-db-memory-list
nelisp-only      anvil-standalone-db-memory-prefix
nelisp-only      anvil-standalone-db-memory-search
nelisp-only      anvil-standalone-db-memory-types
nelisp-only      anvil-standalone-db-sqlite-execute
nelisp-only      anvil-standalone-db-sqlite-select
nelisp-only      anvil-standalone-db-worklog-add
nelisp-only      anvil-standalone-db-worklog-get
nelisp-only      anvil-standalone-db-worklog-list
nelisp-only      anvil-standalone-db-worklog-prefix
nelisp-only      anvil-standalone-db-worklog-search
nelisp-only      audit-elisp-artifacts
nelisp-only      bf_ac_scan_chunk
